lexId,language,speech,nameType,lexSet,lexText,gloss,freqLex,rankLex
1440387,hbo,subs,,,מְדֹכָה,mortar,1,5715
1440388,hbo,subs,,,פָּרוּר,cooking pot,3,3915
1440389,hbo,subs,,,לָשָׁד,dainty,2,4540
1440390,hbo,subs,,,זָרָא,nausea,1,5715
1440391,hbo,verb,,,קצר,be short,14,1828
1440392,hbo,verb,,,נבא,speak as prophet,115,380
1440393,hbo,nmpr,pers,,אֶלְדָּד,Eldad,2,4540
1440394,hbo,nmpr,pers,,מֵידָד,Medad,2,4540
1440395,hbo,subs,,,בְּחֻרִים,youth,1,5715
1440396,hbo,verb,,,גוז,pass along,2,4540
1440397,hbo,verb,,,שׁטח,spread,6,2866
1440398,hbo,nmpr,topo,,קִבְרֹות הַתַּאֲוָה,Kibroth Hattaavah,5,3122
1440399,hbo,nmpr,topo,,חֲצֵרֹות,Hazeroth,6,2866
1440400,hbo,adjv,,gntl,כֻּשִׁי,Ethiopian,25,1239
1440401,hbo,adjv,,,עָנָו,humble,21,1403
1440402,hbo,subs,,,חִידָה,riddle,17,1596
1440403,hbo,verb,,,יאל,be foolish,4,3479
1440404,hbo,verb,,,ירק,spit,3,3915
1440405,hbo,verb,,,כלם,humiliate,38,919
1440406,hbo,nmpr,pers,,שַׁמּוּעַ,Shammua,5,3122
1440407,hbo,nmpr,gens,,זַכּוּר,Zaccur,10,2230
1440408,hbo,nmpr,pers,,שָׁפָט,Shaphat,8,2471
1440409,hbo,nmpr,pers,,כָּלֵב,Caleb,36,960
1440410,hbo,nmpr,pers,,יְפֻנֶּה,Jephunneh,16,1679
1440411,hbo,nmpr,pers,,יִגְאָל,Igal,3,3915
1440412,hbo,nmpr,pers,,הֹושֵׁעַ,Hosea,16,1679
1440413,hbo,nmpr,pers,,פַּלְטִי,Palti,2,4540
1440414,hbo,nmpr,pers,,רָפוּא,Raphu,1,5715
1440415,hbo,nmpr,pers,,גַּדִּיאֵל,Gaddiel,1,5715
1440416,hbo,nmpr,pers,,סֹודִי,Sodi,1,5715
1440417,hbo,nmpr,pers,,גַּדִּי,Gaddi,1,5715
1440418,hbo,nmpr,pers,,סוּסִי,Susi,1,5715
1440419,hbo,nmpr,pers,,עַמִּיאֵל,Ammiel,6,2866
1440420,hbo,nmpr,pers,,גְּמַלִּי,Gemalli,1,5715
1440421,hbo,nmpr,pers,,סְתוּר,Sethur,1,5715
